rgiid,period,area,dmdtda,err_dmdtda,reg,is_cor,RGIId,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,CenLon,CenLat,northness,eastness
RGI60-11.00001,2000-01-01_2020-01-01,122000.0,-0.893,0.4651,11,False,RGI60-11.00001,0.122,2191,2338,2277,19.9,334,461,13.5987,47.4949,0.8987940462991668,-0.4383711467890778
RGI60-11.00002,2000-01-01_2020-01-01,2292000.0,-0.5248,0.1886,11,False,RGI60-11.00002,2.292,2203,2855,2526,18.6,49,1853,13.6135,47.4845,0.6560590289905073,0.754709580222772
RGI60-11.00003,2000-01-01_2020-01-01,851000.0,-0.8007,0.2241,11,False,RGI60-11.00003,0.851,2280,2691,2458,17.8,314,1140,13.596,47.4835,0.6946583704589973,-0.7193398003386511
RGI60-11.00004,2000-01-01_2020-01-01,53000.0,-0.3831,0.5114,11,False,RGI60-11.00004,0.053,2319,2562,2422,32.4,306,382,13.5829,47.4807,0.5877852522924729,-0.8090169943749476
RGI60-11.00005,2000-01-01_2020-01-01,57000.0,-0.4299,0.4369,11,False,RGI60-11.00005,0.057,2656,2778,2686,25.4,291,202,13.6026,47.4774,0.3583679495453004,-0.9335804264972017
RGI60-11.00006,2000-01-01_2020-01-01,908000.0,-0.6105,0.2135,11,False,RGI60-11.00006,0.908,2450,2681,2601,14.0,33,816,13.6304,47.4708,0.838670567945424,0.5446390350150271
RGI60-11.00007,2000-01-01_2020-01-01,14000.0,-0.5248,0.7858,11,False,RGI60-11.00007,0.014,2650,2690,2674,22.6,186,103,13.6143,47.4735,-0.9945218953682733,-0.1045284632676535
RGI60-11.00008,2000-01-01_2020-01-01,169000.0,-0.5406,0.3202,11,False,RGI60-11.00008,0.169,2580,2744,2657,23.0,28,415,13.0368,47.4288,0.882947592858927,0.4694715627858908
RGI60-11.00009,2000-01-01_2020-01-01,327000.0,-0.7015,0.2514,11,False,RGI60-11.00009,0.327,2664,2809,2767,12.2,6,813,13.0484,47.4247,0.9945218953682733,0.10452846326765347
RGI60-11.00010,2000-01-01_2020-01-01,36000.0,-0.7274,0.5175,11,False,RGI60-11.00010,0.036,2645,2689,2671,10.3,41,247,13.0783,47.4248,0.754709580222772,0.6560590289905073
RGI60-11.00011,2000-01-01_2020-01-01,37000.0,-0.2599,0.3919,11,False,RGI60-11.00011,0.037,2694,2821,2766,15.1,15,501,13.0419,47.4254,0.9659258262890683,0.25881904510252074
RGI60-11.00012,2000-01-01_2020-01-01,197000.0,-0.5322,0.2541,11,False,RGI60-11.00012,0.197,2710,2828,2778,12.1,21,549,13.0581,47.4242,0.9335804264972017,0.35836794954530027
RGI60-11.00013,2000-01-01_2020-01-01,81000.0,-0.6361,0.4117,11,False,RGI60-11.00013,0.081,2499,2763,2553,28.3,62,446,12.7528,47.198,0.46947156278589086,0.8829475928589269
