rgiid,period,area,dmdtda,err_dmdtda,reg,is_cor,RGIId,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,CenLon,CenLat,northness,eastness,t_jja,p_annual,srad_jja,z_era5,t_jja_corr,apdd,apdd_2022,apdd_anom_2022
RGI60-11.00001,2000-01-01_2020-01-01,122000.0,-0.893,0.4651,11,False,RGI60-11.00001,0.122,2191,2338,2277,19.9,334,461,13.5987,47.4949,0.8987940462991668,-0.4383711467890778,14.119198,1823.4298706054688,18216712.0,1261.558,7.518824737548829,1019.38480327494,1199.6047596558192,180.21995638087924
RGI60-11.00002,2000-01-01_2020-01-01,2292000.0,-0.5248,0.1886,11,False,RGI60-11.00002,2.292,2203,2855,2526,18.6,49,1853,13.6135,47.4845,0.6560590289905073,0.754709580222772,14.119198,1823.4298706054688,18216712.0,1261.558,5.900324737548829,769.1619830344969,930.0903855142623,160.9284024797654
RGI60-11.00003,2000-01-01_2020-01-01,851000.0,-0.8007,0.2241,11,False,RGI60-11.00003,0.851,2280,2691,2458,17.8,314,1140,13.596,47.4835,0.6946583704589973,-0.7193398003386511,14.119198,1823.4298706054688,18216712.0,1261.558,6.342324737548829,833.7661597806831,1000.3594904890593,166.59333070837624
RGI60-11.00004,2000-01-01_2020-01-01,53000.0,-0.3831,0.5114,11,False,RGI60-11.00004,0.053,2319,2562,2422,32.4,306,382,13.5829,47.4807,0.5877852522924729,-0.8090169943749476,14.119198,1823.4298706054688,18216712.0,1261.558,6.576324737548829,869.1104605429853,1038.5836846354632,169.47322409247795
RGI60-11.00005,2000-01-01_2020-01-01,57000.0,-0.4299,0.4369,11,False,RGI60-11.00005,0.057,2656,2778,2686,25.4,291,202,13.6026,47.4774,0.3583679495453004,-0.9335804264972016,14.119198,1823.4298706054688,18216712.0,1261.558,4.860324737548829,628.4099644524488,774.9162475705458,146.50628311809703
RGI60-11.00006,2000-01-01_2020-01-01,908000.0,-0.6105,0.2135,11,False,RGI60-11.00006,0.908,2450,2681,2601,14.0,33,816,13.6304,47.4708,0.838670567945424,0.5446390350150271,13.609855,1781.6563129425049,18178450.0,1347.9072,5.464751670837403,704.7724361369865,866.0321070533723,161.25967091638586
RGI60-11.00007,2000-01-01_2020-01-01,14000.0,-0.5248,0.7858,11,False,RGI60-11.00007,0.014,2650,2690,2674,22.6,186,103,13.6143,47.4735,-0.9945218953682732,-0.1045284632676535,14.119198,1823.4298706054688,18216712.0,1261.558,4.938324737548829,638.4134901480186,786.0509753258316,147.637485177813
RGI60-11.00008,2000-01-01_2020-01-01,169000.0,-0.5406,0.3202,11,False,RGI60-11.00008,0.169,2580,2744,2657,23.0,28,415,13.0368,47.4288,0.882947592858927,0.4694715627858908,14.568643,1941.282320022583,18315862.0,1180.2607,4.969837440490723,652.680054783239,791.691215873266,139.01116109002692
RGI60-11.00009,2000-01-01_2020-01-01,327000.0,-0.7015,0.2514,11,False,RGI60-11.00009,0.327,2664,2809,2767,12.2,6,813,13.0484,47.4247,0.9945218953682732,0.1045284632676534,14.568643,1941.282320022583,18315862.0,1180.2607,4.254837440490723,562.438754865561,691.7652563613015,129.32650149574044
RGI60-11.00010,2000-01-01_2020-01-01,36000.0,-0.7274,0.5175,11,False,RGI60-11.00010,0.036,2645,2689,2671,10.3,41,247,13.0783,47.4248,0.754709580222772,0.6560590289905073,14.568643,1941.282320022583,18315862.0,1180.2607,4.878837440490724,640.7654441933536,778.5782875619068,137.81284336855322
RGI60-11.00011,2000-01-01_2020-01-01,37000.0,-0.2599,0.3919,11,False,RGI60-11.00011,0.037,2694,2821,2766,15.1,15,501,13.0419,47.4254,0.9659258262890684,0.2588190451025207,14.568643,1941.282320022583,18315862.0,1180.2607,4.261337440490722,563.2242083964865,692.641402420548,129.4171940240616
RGI60-11.00012,2000-01-01_2020-01-01,197000.0,-0.5322,0.2541,11,False,RGI60-11.00012,0.197,2710,2828,2778,12.1,21,549,13.0581,47.4242,0.9335804264972016,0.3583679495453002,14.568643,1941.282320022583,18315862.0,1180.2607,4.183337440490723,553.8411905363828,682.1670791195598,128.32588858317706
RGI60-11.00013,2000-01-01_2020-01-01,81000.0,-0.6361,0.4117,11,False,RGI60-11.00013,0.081,2499,2763,2553,28.3,62,446,12.7528,47.198,0.4694715627858908,0.8829475928589269,11.844786,1716.0375118255615,18489856.0,1685.5891,6.20661491394043,814.8656667455401,998.037724969422,183.1720582238819
RGI60-11.00014,2000-01-01_2020-01-01,912000.0,-0.6497,0.1921,11,False,RGI60-11.00014,0.912,2494,2929,2771,17.7,27,1230,12.6823,47.1953,0.8910065241883679,0.4539904997395467,11.844786,1716.0375118255615,18489856.0,1685.5891,4.78961491394043,620.3407144400297,782.0173037964986,161.67658935646887
RGI60-11.00015,2000-01-01_2020-01-01,76000.0,-0.4487,0.3164,11,False,RGI60-11.00015,0.076,2770,2889,2860,17.9,43,403,12.6737,47.1964,0.7313537016191705,0.6819983600624985,11.844786,1716.0375118255615,18489856.0,1685.5891,4.21111491394043,549.5823943401152,701.641818789263,152.05942444914774
RGI60-11.00016,2000-01-01_2020-01-01,32000.0,-0.8302,0.7601,11,False,RGI60-11.00016,0.032,2416,2574,2476,27.8,40,292,12.7581,47.1935,0.766044443118978,0.6427876096865393,11.844786,1716.0375118255615,18489856.0,1685.5891,6.70711491394043,890.7092411016492,1080.646895186452,189.93765408480272
