country,glacier_name,glacier_id,outline_id,year,time_system,begin_date,begin_date_unc,midseason_date,midseason_date_unc,end_date,end_date_unc,winter_balance,winter_balance_unc,summer_balance,summer_balance_unc,annual_balance,annual_balance_unc,ela_position,ela,ela_unc,aar,area,investigators,agencies,references,remarks,id,rgi60_ids
AT,GOLDBERG K.,1305,,2022,combined,2021-09-13,0.0,2022-04-29,0.0,2022-09-14,0.0,1.355,0.05,-4.155,,-2.8,0.2,above,3100.0,,0.0,959100.0,Bernhard Hynek (37) | Anton Neureiter (37),37. Central Institute for Meteorology and Geodynamics,,,1305,RGI60-11.00289
AT,HALLSTAETTER G.,535,,2022,fixed,2021-10-01,0.0,2022-04-30,0.0,2022-09-30,0.0,1.689,,-4.291,,-2.602,,above,,,0.0,2448000.0,Kay Helfricht | Klaus Reingruber,,https://doi.pangaea.de/10.1594/PANGAEA.955656,calculated from submitted values,535,RGI60-11.00002
AT,HINTEREIS F.,491,,2022,fixed,2021-10-01,0.0,2022-04-30,0.0,2022-09-30,0.0,0.691,0.15,-4.01,0.15,-3.319,0.05,above,3800.0,10.0,0.0,6142000.0,Rainer Prinz (47),47. University of Innsbruck > Department of Atmospheric and Cryospheric Sciences,,,491,RGI60-11.00897
AT,JAMTAL F.,480,,2022,fixed,2021-10-01,0.0,2022-04-30,0.0,2022-09-30,0.0,0.962,,-4.592,,-3.63,,above,,,0.0,2521000.0,Andrea Fischer (31) | Lea Hartl (31),31. State of Tyrol > Abteilung Wasserwirtschaft > Hydrographic Service,"Fischer, A., Hartl, L. (2017); https://doi.pangaea.de/10.1594/PANGAEA.886077",calculated from submitted values,480,RGI60-11.00781
AT,KESSELWAND F.,507,,2022,fixed,2021-10-01,0.0,2022-04-30,0.0,2022-09-30,0.0,,,,,-2.8,0.05,above,3500.0,10.0,0.0,3549000.0,Rainer Prinz (47),47. University of Innsbruck > Department of Atmospheric and Cryospheric Sciences,,,507,RGI60-11.00787
AT,KLEINFLEISS K.,547,,2022,combined,2021-09-13,0.0,2022-04-29,0.0,2022-09-14,0.0,1.028,0.05,-3.728,,-2.7,0.2,above,3100.0,,0.0,756600.0,Bernhard Hynek (37) | Anton Neureiter (37),37. Central Institute for Meteorology and Geodynamics,,,547,RGI60-11.00251
AT,OE. WURTEN K.,545,,2022,combined,2021-09-15,0.0,,,2022-09-13,0.0,,,,,-3.596,0.1,above,2750.0,20.0,0.0,189000.0,Stefan Reisenhofer (37),37. Central Institute for Meteorology and Geodynamics,,"Glacier area 2018, DEM 2009 (extrapolated), only lower part of the glacier, no winter balance",545,RGI60-11.00300
AT,PASTERZE,566,,2022,,,,,,,,,,,,-2.128,0.05,,,,,14486000.0,Anton Neureiter (37),37. Central Institute for Meteorology and Geodynamics,,,566,RGI60-11.00106
AT,SEEKARLES F.,10459,,2022,fixed,2021-10-01,0.0,2022-04-30,0.0,2022-09-30,0.0,0.654,,-3.943,,-3.289,,above,3255.0,0.0,0.0,942352.0,Markus Strudl,,Markus Strudl (2022): Massenbilanz Seekarlesferner,,10459,RGI60-11.00593
AT,STUBACHER SONNBLICK K.,573,,2022,,2021-09-26,0.0,,,2022-09-06,0.0,,,,,-3.417,,,3000.0,,0.002,806000.0,"Bernhard Zagel (51, 40)",51. University of Salzburg > Department of Geoinformatics | 40. State of Salzburg > Hydrographic Service,"Zagel, B., G. Ehgartner, H. Slupetzky, 2023. Glaziologisches Monitoring 2022: LTER Stubachtal – Sonnblickkees: Beiträge zur Glazialhydrologie eines hochalpinen Einzugsgebietes im Oberen Stubachtal, Hohe Tauern, Land Salzburg. Berichtsjahr 2022. https://uni-salzburg.elsevierpure.com/en/publications/glaziologisches-monitoring-2022-lter-stubachtal-sonnblickkees-bei",,573,RGI60-11.00080
AT,VERNAGT F.,489,,2022,fixed,2021-10-01,0.0,2022-05-01,0.0,2022-09-30,0.0,0.526,0.1,-3.775,0.1,-3.249,0.1,above,3591.0,15.0,0.0,6597000.0,Christoph Mayer (175),175. Bavarian Academy of Sciences and Humanities > Commission for Geodesy and Glaciology,,,489,RGI60-11.00719
AT,ZETTALUNITZ/MULLWITZ K.,578,,2022,fixed,2021-10-01,0.0,2022-04-30,0.0,2022-09-30,0.0,0.816,,-3.265,,-2.449,,above,,,0.007,2564000.0,"Martin Stocker-Waldhuber (52, 31)",52. High Tauern National Park | 31. State of Tyrol > Abteilung Wasserwirtschaft > Hydrographic Service,"Stocker-Waldhuber, M. et al. (2017); https://doi.pangaea.de/10.1594/PANGAEA.886088",calculated from submitted values,578,RGI60-11.00190
CH,ADLER,3801,,2022,floating,2021-09-22,0.0,2022-04-06,0.0,2022-09-05,0.0,0.344,,-3.158,,-2.814,,above,4105.0,,0.0,1979390.0,"Matthias Huss (134, 93) | Andreas Linsbauer (137, 93)",134. University of Fribourg | 93. Glacier Monitoring in Switzerland | 137. University of Zurich,"Sold et al 2016, Frontiers in Earth Science",,3801,RGI60-11.02764
